id,x,y,name
6879,9.2565,37.1225,TN0006356
16063,9.5665,36.9975,TN0013214
63729,9.5165,36.7675,TN0032211
64897,7.9465,36.7625,DZ0030088
82999,6.7365,36.7025,DZ0042211
85087,9.3565,36.6975,TN0038977
87292,4.3365,36.6875,DZ0044994
95266,4.3615,36.6625,DZ0050435
119950,9.1515,36.5925,TN0049383
129833,4.2215,36.5625,DZ0074688
182610,5.5665,36.4275,DZ0113179
190915,7.9365,36.4075,DZ0119637
193077,8.9715,36.4025,TN0068759
212022,6.0815,36.3525,DZ0135853
240030,7.5365,36.2825,DZ0157796
248994,2.4165,36.2575,DZ0164593
273953,6.1715,36.1975,DZ0184370
295839,3.6865,36.1425,DZ0201479
325226,6.4615,36.0725,DZ0224812
333931,8.5315,36.0525,TN0098843
352268,6.5265,36.0075,DZ0246085
377849,8.9515,35.9475,TN0108325
422181,2.2565,35.8425,DZ0299952
441353,5.9115,35.8025,DZ0314438
460679,6.2715,35.7625,DZ0328639
471207,10.0315,35.7425,TN0128254
486259,-5.8785,35.7075,MA0003513
486677,0.5415,35.7075,DZ0347497
557282,7.0065,35.5725,DZ0399756
586952,-5.9185,35.5125,MA0009317
604984,8.7315,35.4825,TN0155554
707613,6.3315,35.2925,DZ0507346
711313,10.5765,35.2875,TN0177193
731317,9.1715,35.2525,TN0180764
735691,1.3615,35.2425,DZ0526189
768076,8.7915,35.1925,TN0187166
858585,-5.8735,35.0525,MA0047634
911467,-0.3235,34.9775,DZ0635034
924658,-3.2185,34.9575,MA0063775
965093,9.5215,34.9025,TN0218280
1035558,-0.8035,34.7975,DZ0708642
1038113,-5.3485,34.7925,MA0092138
1101278,-1.1235,34.7025,DZ0746797
1113591,8.7115,34.6875,TN0240739
1172398,9.5715,34.6025,TN0249496
1232706,3.4915,34.5125,DZ0823711
1238430,-1.8935,34.5025,MA0146721
1460432,-4.6485,34.1725,MA0210858
1731052,-6.3435,33.7775,MA0293850
1895399,-7.0685,33.5525,MA0346534
1936608,10.4065,33.5025,TN0366710
1967474,-7.3935,33.4575,MA0370545
1986766,-7.0385,33.4325,MA0377086
2126972,10.6115,33.2575,TN0400189
2170764,-8.3985,33.1975,MA0440254
2260511,-5.4535,33.0875,MA0471986
2305859,-5.3435,33.0325,MA0487896
2454745,-5.3435,32.8575,MA0539136
2543449,-7.7935,32.7625,MA0567289
2597330,12.6965,32.7125,LY0026974
2618566,-7.5785,32.6875,MA0590532
2649039,-8.2285,32.6575,MA0599853
2658896,21.8665,32.6525,LY0038958
2736316,12.8365,32.5775,LY0054099
2737595,-6.9485,32.5725,MA0627479
2762718,13.7015,32.5525,LY0059624
2885906,-7.9135,32.4325,MA0673305
2923832,-8.4685,32.3975,MA0684558
3071936,-8.9235,32.2625,MA0727894
3379668,-6.6585,31.9925,MA0806181
3517300,-6.6635,31.8775,MA0836405
3987931,14.2715,31.4975,LY0421670
4103998,31.5865,31.4125,EG0015660
4145351,-9.4685,31.3775,MA0962780
4152431,-8.5885,31.3725,MA0964178
4313012,31.7265,31.2625,EG0040605
4378363,-8.7785,31.2125,MA1002788
4694353,17.4915,31.0125,LY0636031
4994113,29.6815,30.8325,EG0168731
5062184,31.3215,30.7925,EG0184062
5225155,-7.9835,30.6925,MA1127798
5827625,30.6515,30.3475,EG0354440
7437138,30.7465,29.4425,EG0710379
8422580,30.8915,28.8925,EG0916715
11747858,31.2915,27.0975,EG1559050
14125777,32.7715,25.8625,EG2009441
14400863,32.6815,25.7225,EG2062569
36850600,8.6515,15.2075,NE2943419
37340992,3.5265,14.9925,NE3052645
37381397,33.0265,14.9775,SD3742480
37582704,0.7765,14.8875,NE3108785
37939984,-15.4535,14.7325,SN0258173
38142832,7.8515,14.6475,NE3240651
38173194,-15.3085,14.6325,SN0278619
